id,name,artists,genre,popularity,total_artist_followers,avg_artist_popularity
4ukUoXLuFzMixyZyabSGc4,Sleigh Ride,"[""Ella Fitzgerald""]",Jazz,84.0,2757738.0,78.0
6pVW5LRWgeLaHudxauOTJU,Jingle Bell Rock - Daryl's Version,"[""Daryl Hall & John Oates""]",Pop,84.0,2910786.0,77.0
0JP9xo3adEtGSdUEISiszL,Moonlight,"[""XXXTENTACION""]",Hip-Hop,84.0,52252497.0,85.0
3IV4swNduIRunHREK80owz,Rollin' (Air Raid Vehicle),"[""Limp Bizkit""]",Rock,84.0,8453061.0,81.0
4e9eGQYsOiBcftrWXwsVco,Aerials,"[""System Of A Down""]",Rock,84.0,14360441.0,83.0
3XVBdLihbNbxUwZosxcGuJ,If I Ain't Got You,"[""Alicia Keys""]",R&B,84.0,13053953.0,81.0
38xhBO2AKrJnjdjVnhJES6,This Christmas,"[""Donny Hathaway""]",Blues,84.0,671351.0,70.0
5J4ZkQpzMUFojo1CtAZYpn,Love Me Harder,"[""Ariana Grande"", ""The Weeknd""]",Pop,84.0,224166275.0,95.5
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,"[""Juice WRLD""]",Hip-Hop,84.0,43302258.0,88.0
0Ie5uiv54KgCr7P4sYDTHl,Baby It's Cold Outside (duet with Michael Bublé),"[""Idina Menzel"", ""Michael Bubl\u00e9""]",Classical,84.0,7567360.0,82.5
39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,"[""The Clash""]",Rock,84.0,3235165.0,72.0
7tqhbajSfrz2F7E1Z75ASX,Ain't No Mountain High Enough,"[""Marvin Gaye"", ""Tammi Terrell""]",R&B,84.0,6309090.0,71.0
254bXAqt3zP6P50BdQvEsq,Everywhere - 2017 Remaster,"[""Fleetwood Mac""]",Rock,84.0,14272894.0,85.0
3pXF1nA74528Edde4of9CC,Don't,"[""Bryson Tiller""]",Hip-Hop,84.0,10713249.0,81.0
2X485T9Z5Ly0xyaghN73ed,Let It Happen,"[""Tame Impala""]",Rock,84.0,9857195.0,86.0
15sxLiiChE5dCW3Y756oas,I Saw Mommy Kissing Santa Claus,"[""The Jackson 5""]",Pop,84.0,1909334.0,74.0
2JzZzZUQj3Qff7wapcbKjc,See You Again (feat. Charlie Puth),"[""Wiz Khalifa"", ""Charlie Puth""]",Pop,84.0,37792464.0,82.5
2hloaUoRonYssMuqLCBLTX,bloodline,"[""Ariana Grande""]",Pop,84.0,108481053.0,95.0
3DK6m7It6Pw857FcQftMds,Runaway,"[""Kanye West"", ""Pusha T""]",Hip-Hop,84.0,34608968.0,83.0
1VNWaY3uNfoeWqb5U8x2QX,Lonely Day,"[""System Of A Down""]",Rock,84.0,14360441.0,83.0
2wGSgTmgSF3xjRrHkTc25R,Hate It Or Love It,"[""The Game"", ""50 Cent""]",Hip-Hop,84.0,24706063.0,80.0
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,"[""Travis Scott""]",Hip-Hop,84.0,41891685.0,92.0
2IuUMx3uxxJAHcH41aYtn0,Winter Wonderland - Remastered 2006,"[""Bing Crosby""]",Pop,84.0,615333.0,84.0
1VuAamHM7P3VQQEXYGG3Uu,Joy To The World,"[""Nat King Cole""]",Pop,84.0,2580739.0,83.0
6REbwUNlppTfcnV4d4ZoZi,Swimming Pools (Drank),"[""Kendrick Lamar""]",Hip-Hop,84.0,45507428.0,91.0
4NeOWqHmlrGRuBvsLJC9rL,My Love (feat. T.I.),"[""Justin Timberlake"", ""T.I.""]",Hip-Hop,84.0,21241150.0,80.5
2S2od3hT7ceytw7d1pTRuE,Again (feat. XXXTENTACION),"[""Noah Cyrus"", ""XXXTENTACION""]",Hip-Hop,84.0,54408754.0,79.0
5SkRLpaGtvYPhw02vZhQQ9,All Falls Down,"[""Kanye West"", ""Syleena Johnson""]",Hip-Hop,84.0,31892134.0,79.5
1158ckiB5S4cpsdYHDB9IF,My Own Summer (Shove It),"[""Deftones""]",Rock,83.0,8004246.0,83.0
5TxRUOsGeWeRl3xOML59Ai,ARE WE STILL FRIENDS?,"[""Tyler, The Creator""]",Hip-Hop,83.0,25104482.0,88.0
2hKdd3qO7cWr2Jo0Bcs0MA,Drops of Jupiter (Tell Me),"[""Train""]",Pop,83.0,4550069.0,74.0
4bJygwUKrRgq1stlNXcgMg,All The Things She Said,"[""t.A.T.u.""]",Pop,83.0,1150859.0,68.0
3aw9iWUQ3VrPQltgwvN9Xu,Family Affair,"[""Mary J. Blige""]",R&B,83.0,4456549.0,74.0
1gihuPhrLraKYrJMAEONyc,Feel So Close - Radio Edit,"[""Calvin Harris""]",Electronic,83.0,23171950.0,86.0
7EiZI6JVHllARrX9PUvAdX,Low Life (feat. The Weeknd),"[""Future"", ""The Weeknd""]",Hip-Hop,83.0,138822961.0,93.5
4HlFJV71xXKIGcU3kRyttv,"Hey, Soul Sister","[""Train""]",Pop,83.0,4550069.0,74.0
1k1Bqnv2R0uJXQN4u6LKYt,Ain't No Sunshine,"[""Bill Withers""]",R&B,83.0,2044809.0,74.0
2V65y3PX4DkRhy1djlxd9p,Don't You Worry Child - Radio Edit,"[""Swedish House Mafia"", ""John Martin""]",Electronic,83.0,4096659.0,73.0
4nva9EpKntUTs6CRSGBCn9,Just A Lil Bit,"[""50 Cent""]",Hip-Hop,83.0,19433112.0,86.0
7AQim7LbvFVZJE3O8TYgf2,Fuck Love (feat. Trippie Redd),"[""XXXTENTACION"", ""Trippie Redd""]",Hip-Hop,83.0,63455250.0,83.5
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,"[""Travis Scott""]",Hip-Hop,83.0,41891685.0,92.0
2AX5E86cn9n2dgioZEjirI,Golden Brown,"[""The Stranglers""]",Rock,83.0,715914.0,72.0
1TEL6MlSSVLSdhOSddidlJ,needy,"[""Ariana Grande""]",Pop,83.0,108481053.0,95.0
