asin,title,author,category_name,numRatings,rating
gr_40604658-jurassic-park,Jurassic Park,Michael Crichton,"Science Fiction, Fiction, Thriller, Adventure, Fantasy",802556,4.04
gr_35133922-educated,Educated,Tara Westover,"Nonfiction, Memoir, Biography, Audiobook, Biography Memoir",796019,4.47
gr_3777732-city-of-glass,City of Glass,Cassandra Clare,"Fantasy, Young Adult, Paranormal, Romance, Urban Fantasy",795269,4.31
gr_10572.A_Clash_of_Kings,A Clash of Kings,George R.R. Martin,"Fantasy, Fiction, Epic Fantasy, Science Fiction Fantasy, High Fantasy",788274,4.41
gr_5139.The_Devil_Wears_Prada,The Devil Wears Prada,Lauren Weisberger,"Chick Lit, Fiction, Contemporary, Romance, Adult",786346,3.75
gr_6900.Tuesdays_with_Morrie,Tuesdays with Morrie,Mitch Albom,"Nonfiction, Memoir, Biography, Inspirational, Classics",782188,4.11
gr_21787.The_Princess_Bride,The Princess Bride,William Goldman,"Fantasy, Fiction, Classics, Romance, Humor",779597,4.26
gr_6350972-tote-m-dchen-l-gen-nicht,Tote Mädchen lügen nicht,"Jay Asher, Knut Krüger (Übersetzer)","Young Adult, Contemporary, Fiction, Realistic Fiction, Mystery",772610,3.92
gr_44767458-dune,Dune,Frank Herbert,"Science Fiction, Fiction, Fantasy, Classics, Science Fiction Fantasy",765785,4.23
gr_24583.The_Adventures_of_Tom_Sawyer,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell (Annotations), John Seelye","Classics, Fiction, Adventure, Young Adult, Historical Fiction",758171,3.91
gr_320.One_Hundred_Years_of_Solitude,One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa","Fiction, Classics, Magical Realism, Literature, Novels",753470,4.08
gr_18114322-the-grapes-of-wrath,The Grapes of Wrath,John Steinbeck,"Classics, Fiction, Historical Fiction, Literature, Novels",750113,3.97
gr_28186.The_Sea_of_Monsters,The Sea of Monsters,Rick Riordan,"Fantasy, Young Adult, Mythology, Fiction, Middle Grade",748643,4.24
gr_7126.The_Count_of_Monte_Cristo,The Count of Monte Cristo,"Alexandre Dumas, Robin Buss","Classics, Fiction, Historical Fiction, Adventure, Literature",746424,4.25
gr_1582996.City_of_Ashes,City of Ashes,Cassandra Clare,"Fantasy, Young Adult, Paranormal, Romance, Urban Fantasy",746180,4.17
gr_2120932.The_Battle_of_the_Labyrinth,The Battle of the Labyrinth,Rick Riordan,"Fantasy, Young Adult, Mythology, Fiction, Middle Grade",741242,4.39
gr_1420.Hamlet,Hamlet,"William Shakespeare, Harold Bloom, Rex Gibson","Classics, Plays, Fiction, Drama, School",730077,4.02
gr_168668.Catch_22,Catch-22,Joseph Heller,"Classics, Fiction, War, Historical Fiction, Humor",723147,3.98
gr_17333223-the-goldfinch,The Goldfinch,Donna Tartt,"Fiction, Contemporary, Literary Fiction, Audiobook, Art",719757,3.92
gr_15241.The_Two_Towers,The Two Towers,"J.R.R. Tolkien, Peter S. Beagle","Fantasy, Fiction, Classics, Adventure, Science Fiction Fantasy",719647,4.44
gr_6288.The_Road,The Road,Cormac McCarthy,"Fiction, Science Fiction, Dystopia, Post Apocalyptic, Classics",716197,3.97
gr_186074.The_Name_of_the_Wind,The Name of the Wind,Patrick Rothfuss,"Fantasy, Fiction, Epic Fantasy, High Fantasy, Magic",715936,4.53
gr_31685789-room,Room,Emma Donoghue,"Fiction, Contemporary, Adult, Adult Fiction, Book Club",714395,4.06
gr_13536860-fifty-shades-freed,Fifty Shades Freed,E.L. James,"Romance, Erotica, Fiction, BDSM, Adult",713779,3.85
gr_51704136-little-fires-everywhere,Little Fires Everywhere,Celeste Ng,"Fiction, Contemporary, Audiobook, Adult, Adult Fiction",712854,4.1
gr_1202.Freakonomics,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Steven D. Levitt, Stephen J. Dubner","Nonfiction, Economics, Business, Science, Psychology",708708,3.98
gr_31434883-eleanor-oliphant-is-completely-fine,Eleanor Oliphant Is Completely Fine,Gail Honeyman,"Fiction, Contemporary, Audiobook, Adult, Adult Fiction",708400,4.28
gr_49552.The_Stranger,The Stranger,"Albert Camus, Matthew Ward","Classics, Fiction, Philosophy, France, Literature",706396,3.98
gr_12296.The_Scarlet_Letter,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly (Annotations), Nina Baym","Classics, Fiction, Historical Fiction, School, Literature",706272,3.41
gr_32542.A_Time_to_Kill,A Time to Kill,John Grisham,"Fiction, Mystery, Thriller, Crime, Suspense",703377,4.07
gr_29056083-harry-potter-and-the-cursed-child,Harry Potter and the Cursed Child: Parts One and Two,"John Tiffany (Adaptation), Jack Thorne, J.K. Rowling","Fantasy, Fiction, Young Adult, Plays, Magic",701541,3.62
gr_21853621-the-nightingale,The Nightingale,Kristin Hannah,"Historical Fiction, Fiction, Historical, World War II, War",697799,4.57
gr_561456.The_Titan_s_Curse,The Titan's Curse,Rick Riordan,"Fantasy, Young Adult, Mythology, Fiction, Middle Grade",686287,4.35
gr_9361589-the-night-circus,The Night Circus,Erin Morgenstern,"Fantasy, Fiction, Romance, Historical Fiction, Magic",684622,4.03
gr_24280.Les_Mis_rables,Les Misérables,"Victor Hugo, Lee Fahnestock, Norman MacAfee","Classics, Fiction, Historical Fiction, Literature, France",682793,4.18
gr_36381037-cinder,Cinder,Marissa Meyer,"Young Adult, Fantasy, Science Fiction, Romance, Dystopia",682555,4.14
gr_15823480-anna-karenina,Anna Karenina,"Leo Tolstoy, Aylmer Maude, Lev Tolstoi, Louise Maude, George Gibian","Classics, Fiction, Romance, Russia, Historical Fiction",681953,4.05
gr_838729.The_Return_of_the_King,The Return of the King,J.R.R. Tolkien,"Fantasy, Fiction, Classics, Adventure, Science Fiction Fantasy",678718,4.53
gr_18045891-sharp-objects,Sharp Objects,Gillian Flynn,"Mystery, Fiction, Thriller, Crime, Mystery Thriller",678349,3.98
gr_8852.Macbeth,Macbeth,William Shakespeare,"Classics, Plays, Fiction, Drama, School",673537,3.9
gr_35545737-a-walk-to-remember,A Walk to Remember,Nicholas Sparks,"Romance, Fiction, Chick Lit, Contemporary, Young Adult",673094,4.18
gr_4556058-the-last-olympian,The Last Olympian,Rick Riordan,"Fantasy, Young Adult, Mythology, Fiction, Middle Grade",668059,4.51
gr_7171637-clockwork-angel,Clockwork Angel,"Cassandra Clare, Rita Sussekind","Fantasy, Young Adult, Paranormal, Romance, Steampunk",666121,4.32
gr_62291.A_Storm_of_Swords,A Storm of Swords,George R.R. Martin,"Fantasy, Fiction, Epic Fantasy, Science Fiction Fantasy, High Fantasy",666114,4.53
gr_6310.Charlie_and_the_Chocolate_Factory,Charlie and the Chocolate Factory,"Roald Dahl, Quentin Blake (Illustrations)","Childrens, Fantasy, Fiction, Classics, Young Adult",664710,4.14
gr_7604.Lolita,Lolita,"Vladimir Nabokov, Craig Raine","Classics, Fiction, Literature, Novels, Russia",663069,3.89
gr_7244.The_Poisonwood_Bible,The Poisonwood Bible,Barbara Kingsolver,"Fiction, Historical Fiction, Africa, Classics, Historical",658743,4.06
gr_7735333-matched,Matched,Ally Condie,"Young Adult, Dystopia, Romance, Science Fiction, Fiction",653393,3.66
gr_6969.Emma,Emma,"Jane Austen, Fiona Stafford","Classics, Fiction, Romance, Historical Fiction, Literature",652027,4.01
gr_2623.Great_Expectations,Great Expectations,"Charles Dickens, Παυλίνα Παμπούδη, Marisa Sestino","Classics, Fiction, Literature, Historical Fiction, School",651506,3.78
gr_5043.The_Pillars_of_the_Earth,The Pillars of the Earth,Ken Follett,"Historical Fiction, Fiction, Historical, Fantasy, Classics",648793,4.31
gr_39988.Matilda,Matilda,"Roald Dahl, Quentin Blake","Childrens, Fiction, Classics, Fantasy, Young Adult",647667,4.32
gr_9416.Confessions_of_a_Shopaholic,Confessions of a Shopaholic,Sophie Kinsella,"Chick Lit, Fiction, Romance, Contemporary, Humor",647366,3.65
gr_6892870-the-girl-who-kicked-the-hornet-s-nest,The Girl Who Kicked the Hornet's Nest,"Stieg Larsson, Reg Keeland","Fiction, Mystery, Thriller, Crime, Mystery Thriller",645579,4.22
gr_485894.The_Metamorphosis,The Metamorphosis,"Franz Kafka, Stanley Corngold, Mircea Ivănescu","Classics, Fiction, Fantasy, Literature, Short Stories",643254,3.82
gr_332613.One_Flew_Over_the_Cuckoo_s_Nest,One Flew Over the Cuckoo's Nest,Ken Kesey,"Classics, Fiction, Literature, Psychology, Novels",630948,4.19
gr_7144.Crime_and_Punishment,Crime and Punishment,"Fyodor Dostoyevsky, David McDuff","Classics, Fiction, Russia, Literature, Russian Literature",626897,4.22
gr_2865.Girl_with_a_Pearl_Earring,Girl with a Pearl Earring,Tracy Chevalier,"Historical Fiction, Fiction, Historical, Classics, Art",626689,3.89
gr_7736182-the-lost-hero,The Lost Hero,Rick Riordan,"Fantasy, Young Adult, Mythology, Fiction, Middle Grade",624124,4.33
